Row Labels,Sum of Available Slots
50 Yuan Ching Road Singapore 618661,17
https://www.volunteer.gov.sg/volunteer/opportunity/details/?id=7a2a92bc-6993-eb11-a9ed-fcbf2374cac6,3
76 Kim Keat Road Masjid Hajjah Rahimabi Kebun Limau Singapore 328835,3
https://www.volunteer.gov.sg/volunteer/opportunity/details/?id=7b685584-96c0-ec11-aa00-beebdfe11d82,56
473 Stirling Road Queenstown Sports Centre Singapore 148948,56
https://www.volunteer.gov.sg/volunteer/opportunity/details/?id=7bf1c48a-dbfd-ec11-a9ff-9d1555179c89,21
518 Clementi Avenue 3 Clementi Sports Centre Singapore 129907,21
https://www.volunteer.gov.sg/volunteer/opportunity/details/?id=7ec7201d-a6fa-ec11-a9ff-9d1555179c89,0
"1 Stadium Drive National Stadium Singapore 397629, SportHub",0
https://www.volunteer.gov.sg/volunteer/opportunity/details/?id=7fc38ee8-54cf-ec11-a9fb-f9ace7e5f016,10
9 Teck Whye Lane #01-262 Singapore 680009,3
Virtual Red Box (ZOOM) Singapore 238165,7
https://www.volunteer.gov.sg/volunteer/opportunity/details/?id=814ae8b4-6593-eb11-a9ed-fcbf2374cac6,3
2 Serangoon North Avenue 2 Masjid Al-istiqamah Singapore 555876,3
https://www.volunteer.gov.sg/volunteer/opportunity/details/?id=827ce6d8-f2d0-ec11-a9fb-f9ace7e5f016,29
297 Lorong 6 Toa Payoh Toa Payoh Sports Hall Singapore 319389,29
https://www.volunteer.gov.sg/volunteer/opportunity/details/?id=84765379-01f2-ec11-a9fd-f74269a6f56d,50
3 Woodlands Street 13 Woodlands Swimming Complex Singapore 738600,50
https://www.volunteer.gov.sg/volunteer/opportunity/details/?id=874d973c-22f8-ec11-a9fe-85070ef30829,11
113 Somerset Road The Red Box Singapore 238165,11
https://www.volunteer.gov.sg/volunteer/opportunity/details/?id=88bc391c-50fb-ec11-a9ff-9d1555179c89,88
113 Somerset Road The Red Box Singapore 238165,88
https://www.volunteer.gov.sg/volunteer/opportunity/details/?id=89d59648-a9eb-ec11-a9fc-e34b68278fc6,975
20 Lengkok Bahru Singapore 159053,975
https://www.volunteer.gov.sg/volunteer/opportunity/details/?id=8c5980b0-fb92-eb11-a9ed-fcbf2374cac6,2
15 Jalan Ulu Seletar Masjid Ahmad Ibrahim Singapore 769227,2
https://www.volunteer.gov.sg/volunteer/opportunity/details/?id=8d1d1d0d-ccf6-ec11-a9fe-85070ef30829,0
164 Stirling Road Mei Ling Vista Singapore 140164,0
https://www.volunteer.gov.sg/volunteer/opportunity/details/?id=8ddf2d41-77ec-ec11-a9fc-e34b68278fc6,15
01 Admiralty Park Singapore 738966,15
https://www.volunteer.gov.sg/volunteer/opportunity/details/?id=8fbcbf57-a0d1-ec11-a9fb-f9ace7e5f016,5
"21 Jurong East Street 31 Jurong East Sport Centre Singapore 609517, L2 Active Health lab",5
https://www.volunteer.gov.sg/volunteer/opportunity/details/?id=90f5b9c8-84b5-ec11-a9fa-e4c9a5b6a377,0
113 Somerset Road Virtual Red Box (ZOOM) Singapore 238165,0
https://www.volunteer.gov.sg/volunteer/opportunity/details/?id=93338b1a-0572-ec11-a9f4-ec6333e71e30,239
20 Lengkok Bahru Family@Enabling Village Singapore 159053,239
https://www.volunteer.gov.sg/volunteer/opportunity/details/?id=94c8bd84-46df-ec11-a9fc-e34b68278fc6,3
"11 Bedok North Street 1 Heartbeat @ Bedok Singapore 469662, Bedok ActiveSG Sport Centre",3
https://www.volunteer.gov.sg/volunteer/opportunity/details/?id=94d09094-15d8-ec11-a9fc-e34b68278fc6,209
101 Bedok North Avenue 4 #01-1958 THK Seniors Activity Centre @ Fengshan 101 Singapore 460101,209
https://www.volunteer.gov.sg/volunteer/opportunity/details/?id=94df5fea-7ccf-ec11-aa00-beebdfe11d82,3
5 Stadium Drive Ocbc Arena Singapore 397631,3
https://www.volunteer.gov.sg/volunteer/opportunity/details/?id=9545711f-c9f2-ec11-a9fe-85070ef30829,3
296B Bukit Batok Street 22 Bukit Batok Zone 11 Resident Network Singapore 652296,3
https://www.volunteer.gov.sg/volunteer/opportunity/details/?id=95458ee1-82ab-ec11-a9fa-e4c9a5b6a377,287
"113 Somerset Road The Red Box Singapore 238165, Virtual redbox",62
159 Lorong 1 Toa Payoh #01-1530 SG Cares Volunteer Centre @ Toa Payoh Singapore 310159,225
https://www.volunteer.gov.sg/volunteer/opportunity/details/?id=954aed68-9490-ec11-a9f8-8430399f4244,0
633 Bedok Reservoir Road Bedok Rervoir Singapore 410633,0
https://www.volunteer.gov.sg/volunteer/opportunity/details/?id=957e4940-f2e5-ec11-aa01-f87a764abaad,15
1384 Ang Mo Kio Avenue 1 Bishan-Ang Mo Kio Park (River Plains) Singapore 569932,15
https://www.volunteer.gov.sg/volunteer/opportunity/details/?id=97d57c34-12eb-ec11-a9fc-e34b68278fc6,0
446 Punggol Way Punggol Point Cove Singapore 820446,0
https://www.volunteer.gov.sg/volunteer/opportunity/details/?id=985f2ec4-a0fa-ec11-a9ff-9d1555179c89,93
"1 Stadium Drive National Stadium Singapore 397629, SportHub",93
https://www.volunteer.gov.sg/volunteer/opportunity/details/?id=98b45671-1ff9-ec11-a9ff-9d1555179c89,5
"1 Stadium Drive National Stadium Singapore 397629, SportHub",5
https://www.volunteer.gov.sg/volunteer/opportunity/details/?id=98e228ea-e7fd-ec11-aa04-f72aee03126e,1
2 Clementi West Street 2 West Coast Community Centre Singapore 129605,1
https://www.volunteer.gov.sg/volunteer/opportunity/details/?id=9dd32077-cef5-ec11-a9fe-85070ef30829,48
"512 Thomson Road Singapore 298136, Do note that the sharing session will be held online and not physical. Thanks!",48
https://www.volunteer.gov.sg/volunteer/opportunity/details/?id=9ddd921c-54f9-ec11-a9ff-9d1555179c89,56
1 Choa Chu Kang Street 53 Choa Chu Kang Sports Centre Singapore 689236,7
11 Bedok North Street 1 Heartbeat@Bedok Singapore 469662,17
133 Canberra View Bukit Canberra Sport Hall Singapore 750133,8
"151 New Bridge Road Chinatown Mrt Station Singapore 059443, Exit C",4
297 Lorong 6 Toa Payoh Toa Payoh Sport Centre Singapore 319389,5
30 Yuan Ching Road ActiveSG Jurong Lake Gardens Singapore 618664,7
57 Anchorvale Road Sengkang Sports Centre Singapore 544964,8
https://www.volunteer.gov.sg/volunteer/opportunity/details/?id=9e0c3e8f-c0c7-ec11-a9fb-f9ace7e5f016,62
113 Somerset Road The Red Box Singapore 238165,62
https://www.volunteer.gov.sg/volunteer/opportunity/details/?id=9f1818f9-7ce5-ec11-aa01-f87a764abaad,25
100 Tyrwhitt Road Jalan Besar Sports Centre Singapore 207542,25
https://www.volunteer.gov.sg/volunteer/opportunity/details/?id=9f957c27-d2f5-ec11-aa03-eadca8c96776,35
"11 Bedok North Street 1 Heartbeat @ Bedok Singapore 469662, Bedok ActiveSG Sport Centre",35
https://www.volunteer.gov.sg/volunteer/opportunity/details/?id=a134dd4a-c1b0-ec11-a9ff-dc9750ca68cb,11
189 Boon Lay Drive Boon Lay Vista Singapore 640189,11
https://www.volunteer.gov.sg/volunteer/opportunity/details/?id=a2b9ef73-3dd1-ec11-aa00-beebdfe11d82,0
120 Pasir Ris Central Pasir Ris Sports And Recreation Centre Singapore 519640,0
https://www.volunteer.gov.sg/volunteer/opportunity/details/?id=a35869ec-70ec-ec11-a9fc-e34b68278fc6,15
6A Admiralty Road West Singapore 757445,15
https://www.volunteer.gov.sg/volunteer/opportunity/details/?id=a76516cc-0deb-ec11-a9fc-e34b68278fc6,0
"0 Pasir Ris Central Singapore 519639, Meeting point: Outside C1 toilet block",0
https://www.volunteer.gov.sg/volunteer/opportunity/details/?id=a8623f3a-4af0-ec11-aa02-e0db57c9cab0,0
113 Somerset Road The Red Box Singapore 238165,0
https://www.volunteer.gov.sg/volunteer/opportunity/details/?id=a93a59a9-28f9-ec11-a9ff-9d1555179c89,72
"Tampines Plaza 2, 5 Tampines Central 1, #02-04 Singapore 529541",72
https://www.volunteer.gov.sg/volunteer/opportunity/details/?id=a964ae59-24c1-ec11-a9fb-f9ace7e5f016,17
"113 Somerset Road The Red Box Singapore 238165, [Virtual]",17
https://www.volunteer.gov.sg/volunteer/opportunity/details/?id=b0cc5fae-0bba-ec11-a9fb-f9ace7e5f016,0
11 Bedok North Street 1 Heartbeat@Bedok Level Sports Hall Singapore 469662,0
https://www.volunteer.gov.sg/volunteer/opportunity/details/?id=b7bf2868-9dde-ec11-a9fc-e34b68278fc6,222
221A Boon Lay Place Boon Lay Place Market And Food Village Singapore 641221,222
https://www.volunteer.gov.sg/volunteer/opportunity/details/?id=b7ec875e-b4d8-ec11-a9fc-e34b68278fc6,1
113 Somerset Road The Red Box Singapore 238165,1
501 Margaret Drive Rainbow Centre - Margaret Drive Singapore 149306,0
https://www.volunteer.gov.sg/volunteer/opportunity/details/?id=b7fa505b-4ef0-ec11-a9fd-f74269a6f56d,19
701B Yishun Ave 5 Singapore 762701,16
Virtual Red Box (ZOOM) Singapore 238165,3
https://www.volunteer.gov.sg/volunteer/opportunity/details/?id=b85ff085-6bf0-ec11-a9fd-f74269a6f56d,46
51 Kee Sun Avenue -51 Kee Sun Singapore 457056,46
https://www.volunteer.gov.sg/volunteer/opportunity/details/?id=b8d7fa4f-5afc-ec11-a9ff-9d1555179c89,66
"20 Lengkok Bahru Enabling Village Singapore 159053, ActiveSG Dance Studio",11
21 Jurong East Street 31 Jurong East Sport Centre Singapore 609517,20
"297 Lorong 6 Toa Payoh Toa Payoh Sport Centre Singapore 319389, Dance Studio",13
"518 Clementi Avenue 3 Clementi Sports Centre Singapore 129907, Dance Studio",22
https://www.volunteer.gov.sg/volunteer/opportunity/details/?id=ba345de2-10eb-ec11-a9fc-e34b68278fc6,12
446 Punggol Way Punggol Point Cove Singapore 820446,12
https://www.volunteer.gov.sg/volunteer/opportunity/details/?id=bb9b404b-f0d0-ec11-a9fb-f9ace7e5f016,3
21 Jurong East Street 31 Jurong East Stadium Singapore 609517,3
https://www.volunteer.gov.sg/volunteer/opportunity/details/?id=bd859247-6293-eb11-a9ed-fcbf2374cac6,1
2 Hillside Drive Masjid Haji Yusoff Singapore 548920,1
https://www.volunteer.gov.sg/volunteer/opportunity/details/?id=be69cf88-96a3-ec11-a9fa-e4c9a5b6a377,40
113 Somerset Road The Red Box Singapore 238165,40
https://www.volunteer.gov.sg/volunteer/opportunity/details/?id=bed01086-f6d0-ec11-a9fb-f9ace7e5f016,1
30 Margaret Drive Skyresidence @ Dawson Singapore 141030,1
https://www.volunteer.gov.sg/volunteer/opportunity/details/?id=c0301bc6-faf5-ec11-aa03-eadca8c96776,30
"51 Kee Sun Avenue -nil, nil Wisma Mendaki Singapore 457056",30
https://www.volunteer.gov.sg/volunteer/opportunity/details/?id=c127b507-deed-ec11-a9fd-f74269a6f56d,5
"Blk 61 Strathmore Avenue, #01-02 Singapore 141061",4
Virtual Red Box (ZOOM) Singapore 238165,1
https://www.volunteer.gov.sg/volunteer/opportunity/details/?id=c15f47e8-3bd1-ec11-aa00-beebdfe11d82,4
60 Jalan Mempurong PA Sembawang Singapore 759058,4
https://www.volunteer.gov.sg/volunteer/opportunity/details/?id=c22499b3-78d2-ec11-a9fb-f9ace7e5f016,10
9 Hougang Avenue 8 Xinmin Primary Singapore 538784,10
https://www.volunteer.gov.sg/volunteer/opportunity/details/?id=c26d375e-48d7-ec11-aa00-beebdfe11d82,4
"297 Lorong 6 Toa Payoh Toa Payoh Sport Centre Singapore 319389, Petanque Court",4
https://www.volunteer.gov.sg/volunteer/opportunity/details/?id=c3431371-de92-eb11-a9f2-ccdc4dbd0b11,3
6 Admiralty Road Masjid An-nur Singapore 739983,3
https://www.volunteer.gov.sg/volunteer/opportunity/details/?id=c39adf10-0993-eb11-a9ed-fcbf2374cac6,1
9A Bishan Street 14 Masjid An-Nahdhah Singapore 579786,1
https://www.volunteer.gov.sg/volunteer/opportunity/details/?id=c56f30dd-02b0-ec11-a9ff-dc9750ca68cb,0
113 Somerset Road Virtual Red Box (ZOOM) Singapore 238165,0
https://www.volunteer.gov.sg/volunteer/opportunity/details/?id=c59880af-d7ed-ec11-a9fd-f74269a6f56d,1
3779 Jalan Bukit Merah #01-03 Singapore 159462,1
Virtual Red Box (ZOOM) Singapore 238165,0
https://www.volunteer.gov.sg/volunteer/opportunity/details/?id=c8a7c2a2-01e7-ec11-a9fc-e34b68278fc6,2
351 Yishun Avenue 3 Yishun Swimming Complex Singapore 769057,2
https://www.volunteer.gov.sg/volunteer/opportunity/details/?id=c914072e-f1e5-ec11-a9fc-e34b68278fc6,1
1384 Ang Mo Kio Avenue 1 Bishan-Ang Mo Kio Park (River Plains) Singapore 569932,1
https://www.volunteer.gov.sg/volunteer/opportunity/details/?id=ca8cd0dd-3ed3-ec11-a9fb-f9ace7e5f016,96
21 Evans Road ActiveSG @ MOE Evans Singapore 259366,96
https://www.volunteer.gov.sg/volunteer/opportunity/details/?id=cbcc9f5d-62e8-ec11-a9fc-e34b68278fc6,0
10 Clementi Avenue 3 Clementi Town Secondary School Singapore 129904,0
https://www.volunteer.gov.sg/volunteer/opportunity/details/?id=cc8a1ce4-f5eb-ec11-a9fc-e34b68278fc6,1
57 Anchorvale Road #02-07 Sengkang Active Health Lab Singapore 544964,1
https://www.volunteer.gov.sg/volunteer/opportunity/details/?id=cd61b0de-e2f5-ec11-a9fe-85070ef30829,46
"12A Narooma Road Singapore 298316, Do note that the sharing session will be held online and not physical. Thanks!",46
https://www.volunteer.gov.sg/volunteer/opportunity/details/?id=ce1b14af-09f1-ec11-a9fd-f74269a6f56d,18
113 Somerset Road The Red Box Singapore 238165,18
https://www.volunteer.gov.sg/volunteer/opportunity/details/?id=d30da025-b3f2-ec11-aa03-eadca8c96776,0
520 Clementi Avenue 3 Clementi Swimming Complex Singapore 129908,0
https://www.volunteer.gov.sg/volunteer/opportunity/details/?id=d3e4fd43-15ce-ec11-a9fb-f9ace7e5f016,260
159 Lorong 1 Toa Payoh #01-1530 SG Cares Volunteer Centre @ Toa Payoh Singapore 310159,260
https://www.volunteer.gov.sg/volunteer/opportunity/details/?id=d5f8c6fe-dad0-ec11-aa00-beebdfe11d82,7
21 Jurong East Street 31 Jurong East Stadium Singapore 609517,7
https://www.volunteer.gov.sg/volunteer/opportunity/details/?id=da2fd5d9-cdc9-ec11-aa00-beebdfe11d82,16
"10 Boon Lay Place Boon Lay Community Club Singapore 649882, Basketball Court",16
https://www.volunteer.gov.sg/volunteer/opportunity/details/?id=dac4f2a7-edd0-ec11-a9fb-f9ace7e5f016,15
1 Stadium Drive Sport Hub 100 Plus Promenade Singapore 397629,15
https://www.volunteer.gov.sg/volunteer/opportunity/details/?id=dbc2b0c7-f9d0-ec11-a9fb-f9ace7e5f016,0
57 Anchorvale Road Sengkang Sports Centre Singapore 544964,0
https://www.volunteer.gov.sg/volunteer/opportunity/details/?id=dc265f46-ecfc-ec11-aa04-f72aee03126e,64
"- - Sentosa Beach Station Singapore 098604, https://goo.gl/maps/HmF6sFAehu2cvhNo6",64
https://www.volunteer.gov.sg/volunteer/opportunity/details/?id=dd24d0ab-b8f6-ec11-aa03-eadca8c96776,16
85 Sultan Gate Istana Kampong Glam Singapore 198501,16
https://www.volunteer.gov.sg/volunteer/opportunity/details/?id=dd6a0fd3-5e93-eb11-a9ed-fcbf2374cac6,2
275 Braddell Road Masjid Muhajirin Singapore 579704,2
https://www.volunteer.gov.sg/volunteer/opportunity/details/?id=def98a8a-ddd0-ec11-aa00-beebdfe11d82,11
"57 Anchorvale Road Sengkang Sports Centre Singapore 544964, Hockey Pitch",11
https://www.volunteer.gov.sg/volunteer/opportunity/details/?id=e08b671a-10f2-ec11-a9fd-f74269a6f56d,32
120 Pasir Ris Central Pasir Ris Sports And Recreation Centre Singapore 519640,32
https://www.volunteer.gov.sg/volunteer/opportunity/details/?id=e12d6df2-ecf8-ec11-a9ff-9d1555179c89,7
"52 Marine Terrace #01-189 Marine Terrace Haven Singapore 440052, GoodLife! Makan",7
https://www.volunteer.gov.sg/volunteer/opportunity/details/?id=e24160a8-12ee-ec11-a9fd-f74269a6f56d,34
520 Clementi Avenue 3 Clementi Swimming Complex Singapore 129908,34
https://www.volunteer.gov.sg/volunteer/opportunity/details/?id=e36bb427-74cf-ec11-aa00-beebdfe11d82,1
8 Stadium Boulevard Home of Athletics Singapore 397804,1
https://www.volunteer.gov.sg/volunteer/opportunity/details/?id=e503486a-df92-eb11-a9f2-ccdc4dbd0b11,2
1 Admiralty Lane Masjid Assyafaah Singapore 757620,2
https://www.volunteer.gov.sg/volunteer/opportunity/details/?id=e635d3f5-4456-ec11-a9f3-9dc3772de413,103
51 Kee Sun Avenue Wisma Mendaki Singapore 457056,103
https://www.volunteer.gov.sg/volunteer/opportunity/details/?id=e6487d61-39fc-ec11-a9ff-9d1555179c89,176
129 Whitley Rd Singapore 297822,158
Virtual Red Box (ZOOM) Singapore 238165,18
https://www.volunteer.gov.sg/volunteer/opportunity/details/?id=e9c1b5de-9cdc-ec11-a9fc-e34b68278fc6,4
377A Bukit Batok Street 31 #01-24 Singapore 651377,4
Virtual Red Box (ZOOM) Singapore 238165,0
https://www.volunteer.gov.sg/volunteer/opportunity/details/?id=ead2baab-03d1-ec11-a9fb-f9ace7e5f016,33
8 Stadium Boulevard Kallang Tennis Centre Singapore 397804,33
https://www.volunteer.gov.sg/volunteer/opportunity/details/?id=eb8ff5a0-0d8f-ec11-a9f8-8430399f4244,75
113 Somerset Road The Red Box Singapore 238165,11
945 Tampines Avenue 4 #01-328 The SBL Vision FSC Singapore 520945,64
https://www.volunteer.gov.sg/volunteer/opportunity/details/?id=ec6919d6-74cb-ec11-a9fb-f9ace7e5f016,16
"1 Jalan Papan Terusan Recreation Centre Singapore 619392, MPH 1 (Commercial Blocks)",16
https://www.volunteer.gov.sg/volunteer/opportunity/details/?id=ed23921b-e592-eb11-a9f2-ccdc4dbd0b11,3
950 Yishun Avenue 2 Darul Makmur Mosque Singapore 769099,3
https://www.volunteer.gov.sg/volunteer/opportunity/details/?id=edaa059c-d1fa-ec11-a9ff-9d1555179c89,306
159 Lorong 1 Toa Payoh #01-1530 SG Cares Volunteer Centre @ Toa Payoh Singapore 310159,306
https://www.volunteer.gov.sg/volunteer/opportunity/details/?id=ee077d80-d6d0-ec11-a9fb-f9ace7e5f016,0
11 Bedok North Street 1 Heartbeat@Bedok Singapore 469662,0
https://www.volunteer.gov.sg/volunteer/opportunity/details/?id=ee964265-70fb-ec11-a9ff-9d1555179c89,0
804 Woodlands Street 81 #01-37 Youth Guidance Outreach Services – Woodlands Centre Singapore 730804,0
https://www.volunteer.gov.sg/volunteer/opportunity/details/?id=ef6e431f-388a-ec11-a9f8-8430399f4244,41
20 Lengkok Bahru #00-00 Singapore 159053,41
https://www.volunteer.gov.sg/volunteer/opportunity/details/?id=ef7288b5-f8d7-ec11-aa01-f87a764abaad,2
"78 Airport Boulevard Jewel Changi Airport Singapore 819666, Event Venue: Jewel Changi Airport, Rain Vortex",2
https://www.volunteer.gov.sg/volunteer/opportunity/details/?id=f25e397f-42f1-ec11-a9fd-f74269a6f56d,53
"11 Bedok North Street 1 Heartbeat @ Bedok Singapore 469662, ActiveHealth Lab, Level 4",53
https://www.volunteer.gov.sg/volunteer/opportunity/details/?id=f440ca64-caf5-ec11-a9fe-85070ef30829,51
"1 Tampines Walk Singapore 528523, Our Tampines Hub ActiveHealth Lab",51
https://www.volunteer.gov.sg/volunteer/opportunity/details/?id=f4684b77-24f9-ec11-a9ff-9d1555179c89,10
"1 Stadium Drive National Stadium Singapore 397629, SportHub",10
https://www.volunteer.gov.sg/volunteer/opportunity/details/?id=f5ead71a-fa92-eb11-a9f2-ccdc4dbd0b11,5
5140 Ang Mo Kio Avenue 6 Masjid Al-Muttaqin Singapore 569844,5
https://www.volunteer.gov.sg/volunteer/opportunity/details/?id=f5f4e7e5-39d1-ec11-aa00-beebdfe11d82,11
"1 Tampines Walk Our Tampines Hub Singapore 528523, Sport Hall",11
https://www.volunteer.gov.sg/volunteer/opportunity/details/?id=f66dbdf3-42fb-ec11-aa04-f72aee03126e,0
"- Lock Road Telok Blanagh Hill Park Singapore 109178, Meeting Point: At Lock Road Under Forest Walk",0
https://www.volunteer.gov.sg/volunteer/opportunity/details/?id=f7afff8a-08d1-ec11-aa00-beebdfe11d82,30
200 Ang Mo Kio Avenue 9 Yio Chu Kang Sports Centre Singapore 569770,30
https://www.volunteer.gov.sg/volunteer/opportunity/details/?id=f978f2f2-c4bb-ec11-a9fb-f9ace7e5f016,1
50 Yuan Ching Road Singapore 618661,1
https://www.volunteer.gov.sg/volunteer/opportunity/details/?id=faa02ea1-b7f9-ec11-aa04-f72aee03126e,0
"11 Bedok North Street 1 Heartbeat@Bedok Singapore 469662, (level 4 table tennis area)",0
https://www.volunteer.gov.sg/volunteer/opportunity/details/?id=fb58c5d5-06d9-ec11-aa01-f87a764abaad,0
136 Simei Street 1 Amphitheatre Singapore 520136,0
https://www.volunteer.gov.sg/volunteer/opportunity/details/?id=fba43017-6493-eb11-a9ed-fcbf2374cac6,3
66 Pheng Geck Avenue Masjid Alkaff Upper Serangoon Singapore 348261,3
https://www.volunteer.gov.sg/volunteer/opportunity/details/?id=fc1f7123-8067-ec11-a9f4-ec6333e71e30,307
50 Yuan Ching Road Singapore 618661,307
https://www.volunteer.gov.sg/volunteer/opportunity/details/?id=fc5c2cef-33f1-ec11-aa02-e0db57c9cab0,20
113 Somerset Road The Red Box Singapore 238165,20
https://www.volunteer.gov.sg/volunteer/opportunity/details/?id=fdf350d7-dbed-ec11-a9fd-f74269a6f56d,0
"51 Havelock Rd, #01-25 Singapore 161051",0
Virtual Red Box (ZOOM) Singapore 238165,0
https://www.volunteer.gov.sg/volunteer/opportunity/details/?id=ff5269d1-14d1-ec11-a9fb-f9ace7e5f016,38
3 Stadium Drive Sport Singapore HQ Singapore 397630,38
Grand Total,50407
